**************************************************************************************************
*                                                                                                *
* Component List (Generic)                                                                       *
*                                                                                                *
* E:\00.LAVORI IN CORSO\METALTRONICA\25-335-0 ( CONTROLLO GENERATORE MAMMOGRAFICO)\25-335-0.MAX  *
* Fri Feb 06 15:45:17 2026                                                                       *
*                                                                                                *
**************************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
R40        10K              R                SMD0603                         95.25 mm   -1.27 mm  270     
R41        1K               R                SMD0603                         108.59 mm  2.54 mm   270     
R42        33K              R                SMD0603                         108.59 mm  -0.64 mm  90      
R43        1K               R                SMD0603                         97.79 mm   1.91 mm   270     
R44        33K              R                SMD0603                         97.79 mm   -1.27 mm  270     
R45        5K1              R                SMD0603                         81.92 mm   2.54 mm   270     
R46        1K               R                SMD0603                         78.11 mm   -0.64 mm  90      
R47        10K              R                SMD0603                         80.01 mm   2.54 mm   270     
R48        1K               R                SMD0603                         110.49 mm  2.54 mm   270     
R49        33K              R                SMD0603                         110.49 mm  -0.64 mm  90      
R50        2K2              R                SMD0603                         121.29 mm  -0.64 mm  90      
R51        2K2              R                SMD0603                         121.29 mm  2.54 mm   270     
R52        2K67             R                SMD0603                         60.96 mm   22.23 mm  90      
R53        10K              R                SMD0805-MET                     58.42 mm   6.99 mm   270     
R54        15K              R                SMD0603                         58.42 mm   3.81 mm   90      
R55        1K               R                SMD0603                         4.45 mm    25.40 mm  90      
R56        100K             R                SMD0603                         80.65 mm   24.77 mm  90      
R57        10K              R                SMD0603                         78.74 mm   24.77 mm  90      
R58        100R             R                SMD1206                         83.19 mm   27.31 mm  270     
R59        33K              R                SMD0603                         75.57 mm   25.40 mm  90      
R60        100K             R                SMD0805-MET                     53.34 mm   6.99 mm   90      
R61        11K              R                SMD0603                         75.57 mm   28.58 mm  90      
R62        14K              R                SMD0805-MET                     55.88 mm   6.99 mm   90      
R63        47R              R                SMD0805-MET                     53.34 mm   3.18 mm   90      
R64        10K              R                SMD0603                         50.17 mm   16.51 mm  90      
R65        3K3              R                SMD0603                         111.76 mm  19.69 mm  270     
R66        680R             R                SMD0603                         46.36 mm   6.35 mm   90      
R67        2K7              R                SMD0603                         41.28 mm   6.35 mm   270     
R68        1K               R                SMD0603                         40.64 mm   17.78 mm  90      
R69        2K7              R                SMD0603                         38.74 mm   17.78 mm  90      
R70        33K              R                SMD0603                         36.83 mm   17.78 mm  90      
R71        33K              R                SMD0603                         42.55 mm   17.78 mm  270     
R72        10K              R                SMD0603                         40.64 mm   1.91 mm   90      
R73        1K               R                SMD0603                         38.74 mm   6.35 mm   90      
R74        33K              R                SMD0603                         29.21 mm   17.78 mm  90      
R75        2K7              R                SMD0603                         31.12 mm   17.78 mm  90      
R76        2K7              R                SMD0603                         34.29 mm   6.35 mm   270     
R77        1K               R                SMD0603                         33.02 mm   17.78 mm  90      
R78        1K               R                SMD0603                         32.39 mm   6.35 mm   90      
R79        33K              R                SMD0603                         34.93 mm   17.78 mm  270     
R80        10K              R                SMD0603                         34.29 mm   1.91 mm   90      
R81        2K7              R                SMD0603                         27.94 mm   6.35 mm   270     
R82        1K               R                SMD0603                         24.77 mm   17.78 mm  90      
R83        33K              R                SMD0603                         26.67 mm   17.78 mm  270     
R84        10K              R                SMD0603                         27.94 mm   1.91 mm   90      
R85        1K               R                SMD0603                         8.89 mm    7.62 mm   270     
R86        10K              R                SMD0603                         13.34 mm   7.62 mm   90      
R87        330R             R                SMD0603                         15.24 mm   7.62 mm   270     
R88        680R             R                SMD0603                         109.22 mm  19.69 mm  90      
R89        33K              R                SMD0603                         26.04 mm   1.91 mm   270     
R90        10K              R                SMD0805-MET                     60.96 mm   6.99 mm   270     
R91        680R             R                SMD0603                         127.00 mm  19.69 mm  90      
R92        33K              R                SMD0603                         118.75 mm  10.16 mm  270     
R93        680R             R                SMD0603                         124.46 mm  19.69 mm  90      
R94        33K              R                SMD0603                         116.84 mm  10.16 mm  270     
R95        680R             R                SMD0603                         121.92 mm  19.69 mm  90      
R96        33K              R                SMD0603                         110.49 mm  8.89 mm   270     
R97        680R             R                SMD0603                         119.38 mm  19.69 mm  90      
R98        33K              R                SMD0603                         108.59 mm  8.89 mm   270     
R99        680R             R                SMD0603                         116.84 mm  19.69 mm  90      
R100       33K              R                SMD0603                         102.24 mm  8.89 mm   270     
R101       680R             R                SMD0603                         114.30 mm  19.69 mm  90      
R102       33K              R                SMD0603                         100.33 mm  8.89 mm   270     
TP1        20-2137          T_POINT_R_0      TESTPOINT_1MM                   -1.91 mm   26.67 mm  0       
TP2        20-2137          T_POINT_R_0      TESTPOINT_1MM                   12.70 mm   27.31 mm  0       
TP3        20-2137          T_POINT_R_0      TESTPOINT_1MM                   95.89 mm   21.59 mm  0       
TP4        20-2137          T_POINT_R_0      TESTPOINT_1MM                   77.47 mm   2.54 mm   0       
TP5        20-2137          T_POINT_R_0      TESTPOINT_1MM                   124.46 mm  -1.27 mm  0       
TP6        20-2137          T_POINT_R_0      TESTPOINT_1MM                   129.54 mm  24.13 mm  0       
TP7        20-2137          T_POINT_R_0      TESTPOINT_1MM                   48.90 mm   28.58 mm  0       
TP8        20-2137          T_POINT_R_0      TESTPOINT_1MM                   60.96 mm   25.40 mm  90      
TP9        20-2137          T_POINT_R_0      TESTPOINT_1MM                   0.00 mm    22.23 mm  0       
TP10       20-2137          T_POINT_R_0      TESTPOINT_1MM                   67.31 mm   -1.27 mm  0       
TP11       20-2137          T_POINT_R_0      TESTPOINT_1MM                   59.69 mm   27.94 mm  0       
U1         TJA1050T         TJA1050          SO8                             19.69 mm   27.94 mm  270     
U2         TCMT1103         TCMT1101         SSOP4                           67.95 mm   15.88 mm  0       
U3         TCMT1103         TCMT1101         SSOP4                           81.28 mm   15.88 mm  180     
U4         TCMT1103         TCMT1101         SSOP4                           76.84 mm   15.88 mm  180     
U5         TCMT1103         TCMT1101         SSOP4                           90.17 mm   15.88 mm  0       
U6         TCMT1103         TCMT1101         SSOP4                           85.73 mm   15.88 mm  180     
U7         TCMT1103         TCMT1101         SSOP4                           72.39 mm   15.88 mm  0       
U8         NCP1117ST33T3G   NCP1117ST_0      SOT223-1234                     130.81 mm  14.61 mm  90      
U9         BD7LS08ZG-CTL    BD7LS08ZG        SOOP5                           91.44 mm   4.45 mm   0       
U10        LM358PT          LM358SO          SOG.65M/8/WG6.40/L3.00          71.76 mm   25.40 mm  90      
U11        LM311            LM331_0          B8                              57.15 mm   13.97 mm  0       
U12        SI8710AD-B-ISR   TCMT1101_4       SDIP-6                          59.69 mm   -0.64 mm  90      
U13        LM4040AIM3X-2... LM4040           SOT23-123                       46.36 mm   17.15 mm  90      
U14        TMA-1515S-TRACO  TMH-XXXXS-TRACO  TMAXXXX-S-TRACO                 41.28 mm   25.40 mm  0       
U15        TCMT1103         TCMT1101         SSOP4                           41.91 mm   12.07 mm  0       
U16        TCMT1103         TCMT1101         SSOP4                           38.10 mm   12.07 mm  180     
U17        TCMT1103         TCMT1101         SSOP4                           30.48 mm   12.07 mm  180     
U18        TCMT1103         TCMT1101         SSOP4                           34.29 mm   12.07 mm  0       
U19        TCMT1103         TCMT1101         SSOP4                           26.67 mm   12.07 mm  0       
U20        SAME51J20A-A     SAME51J20A-A_F.. QUAD.50M/64/WG12.00             11.43 mm   22.23 mm  180     
